Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1.209863,1.209863,1.110556,1.128796,1.128796,0
2015-02-01,1.128796,1.148419,1.117681,1.119796,1.119796,0
2015-03-01,1.119796,1.12404,1.046003,1.083025,1.083025,0
2015-04-01,1.074102,1.124759,1.05216,1.111432,1.111432,0
2015-05-01,1.121504,1.145305,1.0822,1.096035,1.096035,0
2015-06-01,1.095902,1.14284,1.08889,1.122297,1.122297,0
2015-07-01,1.113499,1.122,1.08127,1.093924,1.093924,0
2015-08-01,1.0969,1.1706,1.085031,1.121403,1.121403,0
2015-09-01,1.122599,1.146,1.10897,1.125594,1.125594,0
2015-10-01,1.117156,1.14942,1.091,1.100897,1.100897,0
2015-11-01,1.102499,1.106,1.0564,1.058302,1.058302,0
2015-12-01,1.057295,1.107,1.0542,1.093398,1.093398,0
2016-01-01,1.085906,1.0982,1.071201,1.082591,1.082591,0
2016-02-01,1.082626,1.1368,1.082626,1.092395,1.092395,0
2016-03-01,1.088696,1.141,1.0826,1.133466,1.133466,0
2016-04-01,1.137902,1.1464,1.121994,1.144833,1.144833,0
2016-05-01,1.144833,1.1614,1.110001,1.11484,1.11484,0
2016-06-01,1.113598,1.142204,1.091906,1.112805,1.112805,0
2016-07-01,1.110371,1.1196,1.095362,1.116807,1.116807,0
2016-08-01,1.116782,1.135718,1.104911,1.115324,1.115324,0
2016-09-01,1.115822,1.132999,1.112599,1.121957,1.121957,0
2016-10-01,1.124341,1.125,1.08534,1.098467,1.098467,0
2016-11-01,1.097333,1.130199,1.052255,1.064849,1.064849,0
2016-12-01,1.05921,1.085658,1.035518,1.052,1.052,0
2017-01-01,1.052,1.081034,1.034768,1.070859,1.070859,0
2017-02-01,1.080264,1.082661,1.049681,1.058425,1.058425,0
2017-03-01,1.056926,1.090489,1.050045,1.068707,1.068707,0
2017-04-01,1.065655,1.095074,1.057038,1.09075,1.09075,0
2017-05-01,1.090608,1.126672,1.083999,1.117169,1.117169,0
2017-06-01,1.123823,1.1445,1.112087,1.144165,1.144165,0
2017-07-01,1.14257,1.182466,1.131503,1.174729,1.174729,0
2017-08-01,1.182355,1.206695,1.166698,1.189343,1.189343,0
2017-09-01,1.191086,1.209336,1.171921,1.174164,1.174164,0
